Latitude,Longitude,Ca,Mg,Na,K,HCO3,CO3,Cl,SO4,additional-field,Date,Temp
6584500,150467.418,101,20.4,38.1,35.2,340,0,,65.8,Pre_7C,15w001_20160126,6.8
6584500,150467.418,99.4,20.1,38.1,33.8,330,0,,81.2,Pre_10C,15w001_20160208,8
6584500,150467.418,91.7,22.5,35.3,33.6,380,0,,97.1,Pre_7C,15w001_20160215,6
6584500,150467.418,102,20.7,37.4,33.1,470,0,,82.5,Pre_10C,15w001_20160222,8.1
6584500,150467.418,96.6,21.6,34.6,32.3,410,0,,84.2,Pre_10C,15w001_20160229,8.6
6584500,150467.418,97.2,24.5,36.2,33.1,370,0,55.5,97.1,Pre_10C,15w001_20160501,9.8
6584500,150467.418,94.2,22.4,36,31.1,380,0,52.5,93.5,Pre_13C,15w001_20160629,10.4
6584500,150467.418,98.6,20.4,38.6,31.3,350,0,56.5,83.9,Pre_13C,15w001_20160906,12
6584500,150467.418,97.7,22.7,36.1,32.2,350,0,49.7,85,Post_10C,15w001_20161207,9.9
6584500,150467.418,102,23.4,42.4,33.6,470,0,62.1,82.2,Post_13C,15w001_20170207,10.1
6584500,150467.418,97.5,23.2,40.5,31.9,410,0,55.6,78.8,Post_10C,15w001_20170322,10
6584500,150467.418,109,21.3,43.7,32.4,350,0,67.2,85.6,Post_13C,15w001_20170523,10.2
6584500,150467.418,121,20.3,49.5,36.9,280,0,71.6,82,Post_13C,15w001_20170905,11.3
6584500,150467.418,93.1,30.2,37,37.8,770,0,41.8,95,Post_10C,15w001_20180110,9.9
6584500,150467.418,95.4,24.5,38.1,34.3,390,0,67.1,110,Post_10C,15w001_20180308,8.9
