Latitude,Longitude,Ca,Mg,Na,K,HCO3,CO3,Cl,SO4,additional-field,Date,Temp
6584334,151093.9,137,19.5,86.5,14.8,400,0,,79.8,Pre_10C,9501_20160126,8.9
6584334,151093.9,,,,,,,,,,9501_20160208,
6584334,151093.9,,,,,,,,,,9501_20160215,
6584334,151093.9,,,,,,,,,,9501_20160222,
6584334,151093.9,134,19.2,94.9,14.9,400,0,,115,Pre_10C,9501_20160229,9
6584334,151093.9,133,19.5,68.4,13.1,450,0,86.1,83.8,Pre_10C,9501_20160501,8.6
6584334,151093.9,125,17.8,66.6,12.2,420,0,84,87,Pre_10C,9501_20160629,9.1
6584334,151093.9,125,18.9,95.7,14.9,390,0,119,118,Pre_10C,9501_20160906,9
6584334,151093.9,133,20.4,93.4,16.3,380,0,122,116,Post_10C,9501_20161207,8.8
6584334,151093.9,129,19.8,96.3,16.1,390,0,120,114,Post_10C,9501_20170207,8.1
6584334,151093.9,125,19.2,94.1,15.9,390,0,109,105,Post_10C,9501_20170322,9.3
6584334,151093.9,129,17.9,86.7,14.3,340,0,107,116,Post_13C,9501_20170523,10.6
6584334,151093.9,129,17.9,86.7,14.3,340,0,107,116,Post_10C,9501_20170905,9.9
6584334,151093.9,139,21.9,89.3,18,360,0,85.1,91.2,Post_10C,9501_20180110,8.3
6584334,151093.9,110,19.4,83.9,15.8,370,0,129,103,Post_7C,9501_20180308,6.6
