Latitude,Longitude,Ca,Mg,Na,K,HCO3,CO3,Cl,SO4,additional-field,Date,Temp
6584623.42,150787.87,143,17.3,55.7,19.8,440,0,,108,,B4_20160126,6.8
6584623.42,150787.87,140,16.4,74.4,20.3,340,0,,155,,B4_20160208,8.1
6584623.42,150787.87,134,17.1,123,20.6,350,0,,131,,B4_20160215,7.5
6584623.42,150787.87,135,18,83.9,20.3,320,0,,128,,B4_20160222,9.1
6584623.42,150787.87,132,17.5,82.2,20,340,0,,137,,B4_20160229,11.1
6584623.42,150787.87,125,17.7,75.5,20,340,0,104,139,Pre_13C,B4_20160501,11.6
6584623.42,150787.87,112,14.5,50.3,16.7,300,0,60.6,138,Pre_13C,B4_20160629,11.1
6584623.42,150787.87,120,15.4,58.8,17.8,310,0,63.5,136,Pre_13C,B4_20160906,11
6584623.42,150787.87,119,14.5,69.1,17.4,310,0,86.6,127,Post_10C,B4_20161207,10
6584623.42,150787.87,117,15.4,74.3,17.5,310,0,89.4,119,Post_10C,B4_20170207,9.6
6584623.42,150787.87,113,14.9,71.2,16.4,310,0,86,119,Post_13C,B4_20170322,10.3
6584623.42,150787.87,113,15.6,67,17.3,320,0,82.1,118,Post_15C,B4_20170523,14.1
6584623.42,150787.87,116,16.1,70.6,18.7,300,0,84.2,118,Post_16C,B4_20170905,15.3
6584623.42,150787.87,120,17.2,69,19.1,310,0,71.7,106,Post_13C,B4_20180110,10.7
6584623.42,150787.87,109,15.4,67.6,17.4,300,0,92.2,132,Post_10C,B4_20180308,8.1
