Latitude,Longitude,Ca,Mg,Na,K,HCO3,CO3,Cl,SO4,additional-field,Date,Temp
,,,,,,,,,,,BK01R_20160126,
,,,,,,,,,,,BK01R_20160208,
,,,,,,,,,,,BK01R_20160215,
,,,,,,,,,,,BK01R_20160222,
,,,,,,,,,,,BK01R_20160229,
,,,,,,,,,,,BK01R_20160501,
,,,,,,,,,,,BK01R_20160629,
,,,,,,,,,,,BK01R_20160906,
,,,,,,,,,,,BK01R_20161207,
,,7.46,13.2,117,23.7,50,0,93,5,Post_7C,BK01R_20170207,5.4
,,102,14.1,72.9,16.7,290,0,91.5,104,Post_7C,BK01R_20170322,6.4
,,114,16,72.9,17.1,290,0,92,119,Post_10C,BK01R_20170523,7.6
,,114,16,72.9,17.1,290,0,92,119,Post_10C,BK01R_20170905,8.8
,,,,,,,,,,,BK01R_20180110,
,,114,16.5,69.6,17.7,320,0,102,151,Post_7C,BK01R_20180308,7.2
