Latitude,Longitude,Ca,Mg,Na,K,HCO3,CO3,Cl,SO4,additional-field,Date,Temp
,,,,,,,,,,,BV03K_20160126,
,,,,,,,,,,,BV03K_20160208,
,,,,,,,,,,,BV03K_20160215,
,,,,,,,,,,,BV03K_20160222,
,,,,,,,,,,,BV03K_20160229,
,,,,,,,,,,,BV03K_20160501,
,,,,,,,,,,,BV03K_20160629,
,,,,,,,,,,,BV03K_20160906,
,,,,,,,,,,,BV03K_20161207,
,,104,14,70.7,16.3,300,0,93,118,Post_10C,BV03K_20170207,10
,,,,,,,,,,,BV03K_20170322,
,,,,,,,,,,,BV03K_20170523,
,,,,,,,,,,,BV03K_20170905,
,,,,,,,,,,,BV03K_20180110,
,,,,,,,,,,,BV03K_20180308,
