Latitude,Longitude,Ca,Mg,Na,K,HCO3,CO3,Cl,SO4,additional-field,Date,Temp
,,,,,,,,,,,BV03R_20160126,
,,,,,,,,,,,BV03R_20160208,
,,,,,,,,,,,BV03R_20160215,
,,,,,,,,,,,BV03R_20160222,
,,,,,,,,,,,BV03R_20160229,
,,,,,,,,,,,BV03R_20160501,
,,,,,,,,,,,BV03R_20160629,
,,,,,,,,,,,BV03R_20160906,
,,,,,,,,,,,BV03R_20161207,9.6
,,71.4,14,64.8,16,150,0,83,67.1,Post_10C,BV03R_20170207,10
,,108,15.7,70.3,16.5,300,0,82.7,108,Post_10C,BV03R_20170322,9.9
,,112,15.3,67.9,16.6,310,0,83.5,114,Post_13C,BV03R_20170523,10.3
,,112,15.3,67.9,16.6,310,0,83.5,114,Post_13C,BV03R_20170905,13.1
,,,,,,,,,,,BV03R_20180110,
,,,,,,,,,,,BV03R_20180308,
